Tulu Comment,Sentiment,Cleaned_Comment
Ice cream poora melt aand yenk mast disappointment feel aand.,negative,ice cream poora melt aand yenk mast disappointment feel aand
TV show da timing mast odd ittnd watch malpareg mast inconvenient aand. ,negative,tv show da timing mast odd ittnd watch malpareg mast inconvenient aand
ath dala super and ijji ok ok undu,neutral,ath dala super and ijji ok ok undu
Air fryer mast use aand chur oil d yedde work apund.,positive,air fryer mast use aand chur oil d yedde work apund
Juice shop da rate mast jasti aand taste la okay okay ittnd. ,neutral,juice shop da rate mast jasti aand taste la okay okay ittnd
netta vibes matra normal panoli,neutral,netta vibes matra normal panoli
netta climax jokul malti lakka undu,negative,netta climax jokul malti lakka undu
Library yedde silent ittnd odareg easy aand.,positive,library yedde silent ittnd odareg easy aand
Hospital da staff mast kind itter boka service la fast fast aand. ,positive,hospital da staff mast kind itter boka service la fast fast aand
"Restaurant service baji narakka ittnd, waiters mast rudely patherond itter.",negative,restaurant service baji narakka ittnd waiters mast rudely patherond itter
Coaching center da timing mast irregular ittnd students g poora confuse aand.,negative,coaching center da timing mast irregular ittnd students g poora confuse aand
Idli yedde soft aad ittnd chutney la fresh ittnd. ,positive,idli yedde soft aad ittnd chutney la fresh ittnd
very average,neutral,very average
undu waste of money bro,negative,undu waste of money bro
undu kali fine andh panoli vara tuvareg,neutral,undu kali fine andh panoli vara tuvareg
villain character ayeg match apuji,negative,villain character ayeg match apuji
full video matra neutral tone undu,neutral,full video matra neutral tone undu
Induction stove yedde fast ittnd sumar electricity save aand. ,positive,induction stove yedde fast ittnd sumar electricity save aand
Streaming service library okay okay ittnd aanda navigation easy ittnd. ,neutral,streaming service library okay okay ittnd aanda navigation easy ittnd
undu acting baji third class undu,negative,undu acting baji third class undu
"screenplay steady ithend, mala surprise dala ithiji",neutral,screenplay steady ithend mala surprise dala ithiji
"cinema ok ithend, timepass ya",neutral,cinema ok ithend timepass ya
Trekking experience mast super ittnd view la breathtaking ittnd. ,positive,trekking experience mast super ittnd view la breathtaking ittnd
song da melody mast yede ithend ya,positive,song da melody mast yede ithend ya
undu ok ok not bad but not good ittend,neutral,undu ok ok not bad but not good ittend
lyrics matra top undu,positive,lyrics matra top undu
Ceiling fan da noise mast jasti aad yenna sleep disturb avond ittnd. ,negative,ceiling fan da noise mast jasti aad yenna sleep disturb avond ittnd
netta bgm irritating undu ava,negative,netta bgm irritating undu ava
lyrics matra full emotional ittend loved it,positive,lyrics matra full emotional ittend loved it
bro undu matra nonsense andh ava,negative,bro undu matra nonsense andh ava
feel barpund full video tunda,positive,feel barpund full video tunda
Mobile game graphics mast realistic itta gameplay la super ittnd. ,positive,mobile game graphics mast realistic itta gameplay la super ittnd
dialogue chur over anda andh,negative,dialogue chur over anda andh
song matra smooth undu,positive,song matra smooth undu
Food parcel yedde hot ittnd taste la sakkat laik ittnd. ,positive,food parcel yedde hot ittnd taste la sakkat laik ittnd
content matra neutral undu bro,neutral,content matra neutral undu bro
"hero na style yedde ithend, super look",positive,hero na style yedde ithend super look
Laptop da speed mast fast ittinait multitasking malpareg easy aand.,positive,laptop da speed mast fast ittinait multitasking malpareg easy aand
Water purifier taste baari fresh ittnd mast use aand. ,positive,water purifier taste baari fresh ittnd mast use aand
"climax dragging ithend, sleep bathend",negative,climax dragging ithend sleep bathend
Hotel breakfast d mast variety ittnd taste la yedde fresh ittnd. ,positive,hotel breakfast d mast variety ittnd taste la yedde fresh ittnd
Ready-to-eat pulao okay okay ittnd taste la average ittnd. ,neutral,readytoeat pulao okay okay ittnd taste la average ittnd
movie da style matra crazy next level undu,positive,movie da style matra crazy next level undu
"Bus conductor mast rude aye, yenk correct time g ticket la kordije. ",negative,bus conductor mast rude aye yenk correct time g ticket la kordije
"direction fair ithend, dala complimets ijji",neutral,direction fair ithend dala complimets ijji
supper efforts ya production dagalda,positive,super efforts ya production dagalda
ontime tuvare ok undu,neutral,ontime tuvare ok undu
